Username,Last Name,First Name,Question ID,Possible Points,Auto Score,Manual Score
mbasnji9,Isita,Charlie,Question ID 1,1,1,
mbasnji9,Isita,Charlie,Question ID 2,1,0,
mbasnji9,Isita,Charlie,Question ID 3,1,0,
mbasnji9,Isita,Charlie,Question ID 4,1,0,
mbasnji9,Isita,Charlie,Question ID 5,1,1,
mbasnji9,Isita,Charlie,Question ID 6,5,,1.5
mbasnji9,Isita,Charlie,Question ID 7,5,,2.5
mbasafw4,Scarsella,Quiana,Question ID 1,1,0,
mbasafw4,Scarsella,Quiana,Question ID 2,1,1,
mbasafw4,Scarsella,Quiana,Question ID 3,1,1,
mbasafw4,Scarsella,Quiana,Question ID 4,1,0,
mbasafw4,Scarsella,Quiana,Question ID 5,1,1,
mbasafw4,Scarsella,Quiana,Question ID 6,5,,2
mbasafw4,Scarsella,Quiana,Question ID 7,5,,1
mbastxd8,Rodrigues,Nakita,Question ID 1,1,0,
mbastxd8,Rodrigues,Nakita,Question ID 2,1,1,
mbastxd8,Rodrigues,Nakita,Question ID 3,1,0,
mbastxd8,Rodrigues,Nakita,Question ID 4,1,1,
mbastxd8,Rodrigues,Nakita,Question ID 5,1,0,
mbastxd8,Rodrigues,Nakita,Question ID 6,5,,4.5
mbastxd8,Rodrigues,Nakita,Question ID 7,5,,3
mbasfep1,Kincannon,Louvenia,Question ID 1,1,1,
mbasfep1,Kincannon,Louvenia,Question ID 2,1,1,
mbasfep1,Kincannon,Louvenia,Question ID 3,1,0,
mbasfep1,Kincannon,Louvenia,Question ID 4,1,0,
mbasfep1,Kincannon,Louvenia,Question ID 5,1,0,
mbasfep1,Kincannon,Louvenia,Question ID 6,5,,3
mbasfep1,Kincannon,Louvenia,Question ID 7,5,,4
mbasagi8,Ritthaler,Emogene,Question ID 1,1,1,
mbasagi8,Ritthaler,Emogene,Question ID 2,1,1,
mbasagi8,Ritthaler,Emogene,Question ID 3,1,1,
mbasagi8,Ritthaler,Emogene,Question ID 4,1,1,
mbasagi8,Ritthaler,Emogene,Question ID 5,1,1,
mbasagi8,Ritthaler,Emogene,Question ID 6,5,,3.5
mbasagi8,Ritthaler,Emogene,Question ID 7,5,,2
mbasrrd1,Nahmias,Tula,Question ID 1,1,1,
mbasrrd1,Nahmias,Tula,Question ID 2,1,1,
mbasrrd1,Nahmias,Tula,Question ID 3,1,0,
mbasrrd1,Nahmias,Tula,Question ID 4,1,1,
mbasrrd1,Nahmias,Tula,Question ID 5,1,1,
mbasrrd1,Nahmias,Tula,Question ID 6,5,,3
mbasrrd1,Nahmias,Tula,Question ID 7,5,,3.5
